掲載状態,ブランド,車種,グレード,グレード付加情報,ドア,排気量,燃料,車両本体価格,支払総額,年式,車検,リサイクル,走行,色,保証,整備,修復歴,4WD,ナビ,バックカメラ,Bluetooth,ETC,ETC2.0,スマートキー,両側電動スライドドア,電動スライドドア,3列シート,定員4人,定員5人,定員7人,定員8人
掲載,ダイハツ,ミラジーノ,Ｘ,４ＷＤ　オークション評価点「ＲＡ」点　左フロントインサイドパネル歪　エンドパネル歪　オートマチック　走行４６千ｋｍ台　カラーネーム「テンダーブルーマイカメタリック」　関東オークション仕入,5D,660,G|無鉛レギュラーガソリン,55.1万円,59.3万円,2005年,車検整備付,リ済込,4.6万K,テンダーブルーマイカメタリック,保証付　期間条件有り,整備付,有り,○,×,×,×,×,×,×,×,×,×,○,×,×,×
掲載,トヨタ,クラウンスポーツ,Ｚ,４ＷＤ　ＨＶ　アップルカープレイ　置くだけ充電　パノラマモター　パワーバックドア　デジタルインナーミラー　シートヒーター　ベンチレーション　純正２１インチＡＷ　パーキングソナー　ＥＴＣ　ＯＰカラー,5D,2.5,HB|無鉛レギュラーガソリン,524.6万円,533.2万円,2024年,検2027年10月,リ済込,2.3万K,プレシャスホワイトパール,保証付　期限条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,×,×,○,×,×
掲載,ホンダ,Ｎ－ＷＧＮカスタム,Ｌ・ターボホンダセンシング,４ＷＤ　フルセグＴＶ　Ｂｌｕｅｔｏｏｔｈ　Ｂカメラ　純正エンジンスターター　ＥＴＣ　追従式クルーズコントロール　ステリモ　前２席シートヒーター　Ｐソナー　ブレーキホールド　パドルシフト　ＵＳＢポート,5D,660,G|無鉛レギュラーガソリン,150.4万円,153.2万円,2020年,検2027年08月,リ済込,2.6万K,プラチナホワイトパール,保証付　期間条件有り,整備付,無し,○,○,○,○,○,×,○,×,×,×,○,×,×,×
掲載,スバル,レヴォーグ,ＳＴＩスポーツ　ＥＸ,４ＷＤ　ＳＴＩ限定デザイン本革シート　ＷＯＲＫ製１８インチＡＷ＋夏タイヤ　純正ＡＷ＋冬タイヤ　パワーバックドア　メモリー付パワーシート　ＢＳＭ　Ｆ＋Ｓ＋Ｂカメラ　スマホリンク４座シートヒーター,5D,1.8,G|無鉛レギュラーガソリン,287.9万円,298.3万円,2021年,車検整備付,リ済込,4.0万K,クリスタルブラックシリカ,保証付　期間条件有り,整備付,無し,○,×,○,○,×,×,○,×,×,×,×,○,×,×
掲載,トヨタ,ルーミー,カスタムＧ　Ｓ,４ＷＤ　純正ＥＧスターター　冬タイヤ＋ＡＷセット　純正アルミ　両側パワスラ　クルコン　社外フルセグナビ　Ｂｌｕｅｔｏｏｔｈ　バックカメラ　ワイパーデアイサー　ＬＥＤアクセサリーライナー　ＬＥＤライト,5D,1.0,G|無鉛レギュラーガソリン,130.6万円,139.3万円,2017年,車検整備付,リ済込,4.9万K,レーザーブルークリスタルシャイン,保証付　期間条件有り,整備付,無し,○,×,○,○,×,×,○,×,×,×,×,○,×,×
掲載,三菱,デリカＤ：５,アーバンギア　Ｇ　パワーパッケージ,切替式４ＷＤ　ワンオーナー　７人乗り　冬タイヤ＋ＡＷセット　アルパイン製１１．５インチリアモニター　純正１０．１型ナビ　純正ＥＧスターター　前後ドラレコ　パワーバックドア　パドルシフト　両側パワスラ,5D,2.2,D|軽油,384.5万円,392.3万円,2019年,検2026年12月,リ済込,1.1万K,ダイヤモンドブラックマイカ,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,○,×,○,×,×,○,×
掲載,ダイハツ,キャスト,スタイルＧ　ターボ　プライムコレクション　ＳＡＩＩＩ,４ＷＤ　ターボ　レザーシート　前列シートヒーター　パノラマモニター　純正８インチナビ　Ｂｌｕｅｔｏｏｔｈ　ナビ連動ドラレコ　オートハイビーム　革巻ステアリング　木目調パネル　ステリモ　ＥＴＣ,5D,660,G|無鉛レギュラーガソリン,86.7万円,89.3万円,2017年,検2026年12月,リ済込,10.2万K,パールホワイトＩＩＩ,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,×,○,×,×,×
掲載,ホンダ,Ｎ－ＶＡＮ＋スタイル,ファン・ターボ,４ＷＤ　ターボ　オプションカラー　天井収納　アダプティブクルーズコントロール　純正ナビ　バックカメラ　Ｂｌｕｅｔｏｏｔｈ　フルセグ　パーキングソナー　ドラレコ　純正オプションペダルカバー　ＵＳＢポート,5D,660,G|無鉛レギュラーガソリン,108.5万円,112.3万円,2021年,検2027年02月,リ済込,13.5万K,プラチナホワイトパール,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,×,○,×,×,×
掲載,トヨタ,クラウンハイブリッド,ＲＳアドバンス　Ｆｏｕｒ,４ＷＤ　ハイブリッド　ワンオーナー　夏タイヤ新品組替済み　冬タイヤ＋アルミセット積込　純正エンジンスターター　ドラレコ　全方位モニター　ハンドルヒーター　クルコン　デジタルインナーミラー　純正ナビ,4D,2.5,HB|無鉛レギュラーガソリン,388.3万円,398.3万円,2019年,車検整備付,リ済込,2.9万K,ホワイトパールクリスタルシャイン,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,×,×,○,×,×
掲載,スズキ,ソリオ,Ｇ４,４ＷＤ　スタッドレスタイヤ＋社外アルミホイールセット積込　前列シートヒーター　電動スライドドア　ドアミラーヒーター　ドライブレコーダー　フォグ　純正アルミホイール　プッシュスタート　スペアキー,5D,1.2,G|無鉛レギュラーガソリン,65.3万円,72.3万円,2014年,検2027年09月,リ済込,6.8万K,ブルーイッシュブラックパール３,保証付　期間条件有り,整備付,有り,○,×,×,×,×,×,○,×,×,×,×,○,×,×
掲載,トヨタ,ポルテ,Ｇ,切替式４ＷＤ　大開口パワースライドドア　シートヒーター　フロントワイパーデアイサー　バックカメラ　フルセグ対応社外ナビ　社外エンジンスターター　ステアリングスイッチ　ＥＴＣ　フォグ　プッシュスタート,4D,1.5,G|無鉛レギュラーガソリン,52万円,58.3万円,2013年,検2026年10月,リ済込,9.3万K,クリームベージュ,保証付　期間条件有り,整備付,無し,○,×,○,×,○,×,○,×,×,×,×,○,×,×
掲載,トヨタ,エスティマハイブリッド,アエラス　プレミアム,４ＷＤ　トヨタセーフティセンス　寒冷地仕様　純正大型ナビ　バックカメラ　ＥＴＣ　両側電動スライドドア　パワーシート　ハーフレザーシート　オットマン　３列目シート床下収納　ＡＣ１００Ｖ　ウォークスルー,5D,2.4,HB|無鉛レギュラーガソリン,308.1万円,318.2万円,2018年,車検整備付,リ済込,5.6万K,アイスチタニウムマイカメタリック,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,○,×,×,○,×
掲載,レクサス,ＬＳ,ＬＳ６００ｈＬ,４ＷＤ　ハイブリッド　ロングモデル　純正ナビ　バックカメラ　フリップダウンモニター　マークレビンソンスピーカー　ＥＴＣ　本革パワーシート　シートヒーター／クーラー　ステアリングヒーター　パワートランク,4D,5.0,HB|無鉛プレミアムガソリン,160.3万円,168.3万円,2014年,検2028年04月,リ済込,走不明,ブラック,保証無し,整備付,無し,○,×,○,○,○,×,○,×,×,×,×,○,×,×
掲載,ダイハツ,キャスト,スポーツＳＡＩＩ,４ＷＤ　ターボ　パドルシフト　ＬＥＤヘッドライト／フォグ／アクセサリーライナー　ＭＯＭＯ製革ハンドル　ハーフレザーシート　純正フルセグナビ　Ｂｌｕｅｔｏｏｔｈ　バックカメラ　ＥＴＣ　前席シートヒーター,5D,660,G|無鉛レギュラーガソリン,127.2万円,132.2万円,2017年,車検整備付,リ済込,3.9万K,ブラックマイカメタリック,保証付　期間条件有り,整備付,有り,○,×,○,○,○,×,○,×,×,×,○,×,×,×
掲載,ホンダ,Ｎ－ＯＮＥ,プレミアム,４ＷＤ　ホンダセンシング　ツートンカラー　ハーフレザーシート　追従式クルーズコントロール　ＬＥＤヘッドライト／フォグ　純正ディスプレイオーディオ　バックカメラ　ＥＴＣ　シートヒーター　パーキングソナー,5D,660,G|無鉛レギュラーガソリン,181.9万円,185.6万円,2023年,車検整備付,リ済込,1.2万K,メテオロイドグレーメタリック／ブラック,保証付　期限条件有り,整備付,無し,○,×,○,○,×,×,○,×,×,×,○,×,×,×
